name,current_team,role,active,avg,strike_rate,wickets,economy,recent_form,vs_opponent_avg,home_boost
Nathan McCullum,SRH,bat,0,26,113.04,0,7,13,1.13,1
Pragyan Ojha,MI,bowl,0,2,35.56,89,7.4,1.2,1,1
Sunny Singh,RR,bat,0,14.33,138.71,0,0,8.6,1.39,1
Travis Birt,DC,bat,0,15,127.12,0,0,15,1.27,1
Deepak Chahar,MI,bowl,1,15.38,138.21,89,8.24,1.2,1,1
Kedar Jadhav,CSK,bat,0,25.7,119.37,0,0,8.6,1.19,1
Graeme Smith,RR,bat,0,28.42,106.95,0,0,12,1.07,1
Abu Nechim Pathan,RCB,bat,0,7.8,150,0,9.22,5.4,1.5,1
Dhawal Kulkarni,MI,bowl,0,20.8,92.04,86,8.04,1.8,1,1
Cheteshwar Pujara,CSK,bat,0,22.94,96.77,0,0,22.4,0.97,1
Anmolpreet Singh,SRH,bat,0,15.44,118.8,0,0,15.8,1.19,1
Prasidh Krishna,GT,bowl,1,3,37.5,86,8.87,2.4,1,1
Naman Ojha,SRH,bat,0,22.52,114.26,0,0,11,1.14,1
Dishant Yagnik,RR,bat,0,18.89,119.72,0,0,11,1.2,1
Albie Morkel,CSK,allrounder,0,27.08,136.94,85,8,1.4,1,1
Y Gnaneswara Rao,DC,bat,0,19,105.56,0,7,19,1.06,1
Ripal Patel,DC,bat,0,26.67,105.26,0,6.6,11,1.05,1
Karn Sharma,RCB,allrounder,0,16,114.66,84,8.43,1.4,1,1
Manvinder Singh Bisla,KKR,bat,0,24.18,108.28,0,0,11.2,1.08,1
Priyam Garg,SRH,bat,0,16.06,110.53,0,0,17.8,1.11,1
Matthew Short,CSK,bat,1,19.13,118.61,0,8.93,16.4,1.11,1
Shalabh Rana,DC,bat,0,22.75,110.98,0,6.75,10.4,1.11,1
Abhinav Manohar,SRH,bat,0,15.37,120.16,0,0,12.2,1.2,1
Harry Brook,DC,bat,0,21.11,119.5,0,0,6.8,1.19,1
Narayan Jagadeesan,KKR ,bat,0,20.25,104.52,0,0,16.6,1.05,1
Narayan Jagadeesan,KKR,bat,0,20.25,104.52,0,0,16.6,1.05,1
Siddhesh Lad,MI,bat,0,15,115.38,0,0,15,1.15,1
B Sumanth,DC,bat,0,35,92.11,0,0,8.75,0.92,1
Imran Tahir,CSK,bowl,0,11,89.19,82,7.74,2.2,1,1
Ramnaresh Sarwan,KXIP,bat,0,24.33,93.59,0,0,18.25,0.94,1
Kuldeep Upadhyay,RR,bat,0,12,133.33,0,8.68,6,1.33,1
Matthew Breetzke,LSG,bat,1,14,116.67,0,0,14,1.17,1
Ravi Bishnoi,RR,bowl,1,3.75,65.22,82,8.31,2,1,1
Tatenda Taibu,KKR,bat,0,15.5,119.23,0,0,10.33,1.19,1
Prashant Chopra,RR,bat,0,8,133.33,0,0,8,1.33,1
Manish Juneja,MI,bat,0,20.83,93.28,0,0,19.4,0.93,1
Harpreet Singh,PBKS,bat,0,24.6,103.36,0,0,9.4,1.03,1
Vishnu Zol,RCB,bat,0,14.5,111.54,0,0,14.5,1.12,1
Irfan Pathan,SRH,allrounder,0,26.14,116.75,80,7.7,1.2,1,1
Hardik Pandya,MI,bat,1,28.17,146.81,81,9.3,1,1,1
Manhas,DC,bat,0,24.48,105.76,0,6,7,1.06,1
Pat Cummins,SRH,bowl,1,20.4,152.24,79,8.81,1.8,1,1
Bharat Chipli,DC,bat,0,18.67,109.38,0,20,10.6,1.09,1
Suyash Prabhudessai,RCB,bat,0,15.75,111.5,0,0,11.8,1.12,1
Adrian Barath,RCB,bat,0,21,97.67,0,0,14,0.98,1
Josh Philippe,RCB,bat,0,19.5,97.5,0,0,15.6,0.97,1
Ben Dunk,MI,bat,0,13.33,111.11,0,0,13.33,1.11,1
Chirag Gautam,MI,bat,0,18.78,106.96,0,0,10.4,1.07,1
Alex Carey,DC,bat,0,16,110.34,0,0,10.67,1.1,1
Tanush Kotian,RR,bat,0,24,75,0,0,24,0.75,1
Colin Ingram,DC,bat,0,18.64,112.02,0,0,6.8,1.12,1
Michael Klinger,MI,bat,0,18.25,93.59,0,0,18.25,0.94,1
Morne Morkel,KKR,bowl,0,12.6,135.48,77,7.54,1.6,1,1
Aman Hakim Khan,CSK,bat,0,12.78,105.5,0,13,16,1.06,1
Aman Hakim Khan,CSK,bat,0,12.78,105.5,0,13,16,1.06,1
VVS Laxman,SRH,bat,0,18.8,104.06,0,0,10.8,1.04,1
SK Rasheed,CSK,bat,0,14.2,105.97,0,0,14.2,1.06,1
Wasim Jaffer,KXIP,bat,0,18.57,100.78,0,0,12.8,1.01,1
Rob Quiney,RCB,bat,0,14.71,98.1,0,0,18,0.98,1
Aditya Tare,MI,bat,0,15.41,118.95,0,0,4.4,1.19,1
Ankit Yadav,RR,bat,0,9.8,122.5,0,0,7.8,1.23,1
Lakshmipathy Balaji,CSK,bowl,0,6,72,76,7.94,1.2,1,1
Manoj Mishra,DC,bat,0,16.93,111.27,0,0,6.8,1.11,1
Unmukt Chand,DC,bat,0,15,95.54,0,0,18,0.96,1
Rahul Chahar,CSK,bowl,1,8.06,104.04,75,7.78,1.8,1,1
Subramaniam Anirudha,CSK,bat,0,17,112.4,0,0,5,1.12,1
Munaf Patel,MI,bowl,0,9.75,95.12,74,7.52,1.4,1,1
Richard Levi,MI,bat,0,13.83,112.16,0,0,6.6,1.12,1
Mohammad Kaif,RR,bat,0,16.19,100.39,0,0,11,1,1
T Natarajan,DC,bowl,1,4,57.15,71,8.96,1.4,1,1
Kemar Roach,DC,bat,0,10,111.11,0,9.23,10,1.11,1
Anirudh Singh,RR,bat,0,15.75,91.3,0,0,15.75,0.91,1
Sanvir Singh,SRH,bat,0,12.5,113.64,0,0,5,1.14,1
Pradeep Reddy,SRH,bat,0,18.22,98.2,0,0,8.2,0.98,1
Tom Kohler-Cadmore,RR,bat,0,16,88.89,0,0,16,0.89,1
Arshad Khan,GT,bat,1,20.67,140.91,12,11.49,5,1.25,1
Rajat Bhatia,KKR,allrounder,0,13.68,117.93,71,7.44,1.6,1,1
Sunny Goel,PBKS,bat,0,19.82,91.21,0,8.42,10.6,0.91,1
Kartik Sharma,CSK,bat,1,8.33,119.05,0,0,8.33,1.14,1
Mitchell McClenaghan,MI,bowl,0,8.5,116.44,71,8.2,1.2,1,1
Darren Bravo,KKR,bat,0,6,120,0,0,6,1.2,1
Ankit Bawne,RCB,bat,0,12,100,0,0,12,1,1
Prayas Ray Barman,RCB,bat,0,19,76,0,14,19,0.76,1
Ashok Dinda,RCB,bowl,0,3.25,52,69,7.94,1.6,1,1
Shreevats Goswami,RCB,bat,0,16.28,95.44,0,0,9.2,0.95,1
Kieron Pollard,MI,allrounder,0,29.89,140.46,69,8.32,1,1,1
Callum Ferguson,PWI,bat,0,19.6,82.35,0,0,13.2,0.82,1
Tim Seifert,KKR,bat,1,9,118.43,0,0,8.67,1,1
Dasun Shanaka,RR,bat,1,13,100,0,0,8.67,1,1
Damien Martyn,RR,bat,0,19,73.08,0,0,19,0.73,1
Davy Jacobs,MI,bat,0,13.14,91.09,0,0,13.8,0.91,1
Matthew Wade,GT,bat,0,14.08,98.92,0,0,6.8,0.99,1
Parthiv Shah,RR,bat,0,11.5,94.85,0,0,11.6,0.95,1
Sridharan Sriram,RCB,bat,0,15.5,81.58,0,16.33,15.5,0.82,1
Saurav Chauhan,RCB,bat,0,6,112.5,0,0,6,1.12,1
Dinesh Patil,RR,bat,0,13,100,0,0,6.5,1,1
Jofra Archer,RR,bowl,1,13,143.69,67,7.95,1.6,1,1
Raj Angad Bawa,Punjab Kings,bat,0,9.5,105.56,0,0,6.33,1.06,1
Sheldon Jackson,KKR,bat,0,10.17,107.02,0,0,4.6,1.07,1
Luke Ronchi,MI,bat,0,17,91.89,0,0,6.8,0.92,1
Kusal Janith Perera,RR,bat,0,7,107.69,0,0,7,1.08,1
